 subject	trial	gazeX	gazeY	label
1	3	0.55427	0.3651794	1
1	3	0.5560939	0.3668801	1
1	3	0.5560086	0.3673629	1
1	3	0.5559902	0.373042	1
1	3	0.5535148	0.3685084	1
1	3	0.5515435	0.3695296	1
1	3	0.5557321	0.3679629	1
1	3	0.5506421	0.3722025	1
1	3	0.5505911	0.373688	1
1	3	0.5495417	0.3719224	1
1	3	0.501699	0.4182925	1
1	3	0.3502636	0.5904281	1
1	3	0.2922418	0.7137615	1
1	3	0.3069026	0.7059484	1
1	3	0.3068817	0.707808	1
1	3	0.3108645	0.7102749	1
1	3	0.3127492	0.7071573	1
1	3	0.307011	0.7104513	1
1	3	0.3052001	0.7104362	1
1	3	0.3174711	0.7148402	1
1	3	0.311961	0.6993986	1
1	3	0.2797043	0.7689891	1
1	3	0.2723098	0.7893096	1
1	3	0.2655858	0.7937267	1
1	3	0.2671334	0.7787076	1
1	3	0.2751508	0.787198	1
1	3	0.2716634	0.779474	1
1	3	0.2560516	0.7645783	1
1	3	0.2758102	0.7861181	1
1	3	0.2632677	0.7730572	1
1	3	0.2605406	0.7735779	1
1	3	0.2716245	0.7699672	1
1	3	0.2686396	0.7721398	1
1	3	0.2885981	0.7882383	1
1	3	0.2745411	0.7770812	1
1	3	0.2878143	0.7972491	1
1	3	0.2804921	0.7777241	1
1	3	0.2755862	0.776024	1
1	3	0.2793527	0.7667128	1
1	3	0.2792785	0.7737561	1
1	3	0.27752	0.778724	1
1	3	0.2772813	0.7730415	1
1	3	0.2688904	0.7567705	1
1	3	0.2790969	0.7751508	1
1	3	0.2804679	0.7792172	1
1	3	0.2671285	0.7575297	1
1	3	0.2652058	0.7473782	1
1	3	0.2625884	0.7628636	1
1	3	0.2600744	0.7552563	1
1	3	0.276946	0.7774618	1
1	3	0.2684678	0.7659503	1
1	3	0.276204	0.7730128	1
1	3	0.3006329	0.699863	1
1	3	0.3877865	0.4927705	1
